ts,cpu,mem,disk,bytes_sent,bytes_recv
1762359194,26.8,83.4,58.5,43886927,165474399
1762359199,34.4,84.0,58.5,43891507,165513218
1762359204,31.8,84.2,58.5,43904934,165533411
1762359209,39.1,81.8,58.5,43907363,165553288
1762359472,0.0,80.2,58.5,44442914,166660187
1762359477,22.9,80.6,58.5,44448430,166666462
1762359483,13.5,80.8,58.5,44448806,166666939
1762359488,11.1,80.8,58.5,44457191,166667798
1762359493,22.4,80.9,58.5,44457659,166668691
1762359498,16.6,80.9,58.5,44466215,166669528
1762359503,22.7,81.3,58.5,44477141,166670533
1762359508,28.4,79.5,58.5,44486916,166678661
1762359513,15.4,77.5,58.5,44487129,166678965
1762359518,9.7,77.4,58.5,44487488,166679435
1762359653,0.0,81.2,58.5,44689391,166890430
1762359658,21.9,82.0,58.5,44690894,166895087
1762359663,25.1,82.4,58.5,44695637,166896256
1762359668,25.4,82.1,58.5,44695637,166896256
1762359673,26.2,82.2,58.5,44708807,166897962
1762359678,18.7,82.0,58.5,44717900,166900847
1762359683,18.6,82.0,58.5,44723416,166912644
1762359688,13.0,82.0,58.5,44723566,166912794
1762359693,7.6,81.4,58.5,44724004,166913421
1762359699,8.3,81.4,58.5,44736017,166929229
1762359704,12.4,81.4,58.5,44740834,166934846
1762359709,7.9,81.5,58.5,44750628,166941663
1762359714,9.9,81.4,58.5,44773149,166957646
1762359719,6.6,81.4,58.5,44783013,166964622
1762359724,8.4,81.4,58.5,44783575,166965226
1762359729,12.0,80.4,58.5,44806211,166981046
1762359734,10.7,80.3,58.5,44806286,166981222
1762359739,14.6,80.5,58.5,44817086,167000125
1762359744,19.6,81.2,58.5,44854894,167228134
1762359749,9.6,81.1,58.5,44854979,167229803
1762359754,10.7,81.0,58.5,44855301,167230249
1762359759,13.1,81.0,58.5,44855433,167230385
1762359764,6.7,80.9,58.5,44864790,167240433
1762359769,9.9,80.9,58.5,44871998,167244065
1762359774,15.8,81.4,58.5,44872128,167244253
1762359779,16.3,81.2,58.5,44872523,167244511
1762359784,17.0,81.3,58.5,44872925,167245082
1762359789,22.2,81.6,58.5,44873351,167245626
1762359794,12.0,81.1,58.5,44873426,167245748
1762359799,24.7,81.7,58.5,44878907,167248594
1762359804,27.0,81.9,58.5,44887549,167252187
1762359809,25.0,82.0,58.5,45014816,167351780
1762359814,25.7,82.6,58.5,45015278,167357357
1762359819,24.2,83.0,58.5,45016125,167359309
1762359824,26.8,82.9,58.5,45018904,167362944
1762359829,27.7,82.7,58.5,45026060,167367852
1762359834,37.6,82.4,58.5,45031877,167383589
1762359839,30.4,82.5,58.5,45046575,167425159
1762359844,30.5,82.9,58.5,45051297,167474583
1762359849,32.3,83.1,58.5,45057867,167503615
1762360084,0.0,85.0,58.5,45829082,168378504
1762360089,19.5,85.0,58.5,45829148,168378671
1762360094,15.0,85.0,58.5,45844699,168383912
1762360099,13.2,84.4,58.5,45847992,168385507
1762360104,17.0,84.5,58.5,45848590,168386109
1762360109,20.8,84.7,58.5,45854069,168387411
1762360114,25.0,86.0,58.5,45876106,168422719
1762360119,29.5,85.5,58.5,45897827,168668925
1762360124,12.1,85.7,58.5,45902061,168672909
1762360129,13.9,85.6,58.5,45920231,168689572
1762362158,0.0,83.5,58.6,23669,0
1762362163,16.0,83.4,58.6,23669,0
1762362168,15.6,85.1,58.6,23669,0
1762362173,19.5,87.1,58.6,23669,0
1762362178,11.3,84.7,58.6,23669,0
1762362183,28.8,85.8,58.6,23669,0
1762362188,43.7,86.7,58.6,23669,0
1762362193,38.3,86.9,58.6,23669,0
1762362198,26.9,86.0,58.6,23669,0
1762362203,46.2,86.7,58.6,23669,0
1762362208,20.8,86.6,58.6,23669,0
1762362213,22.1,86.3,58.6,23669,0
1762362218,20.0,86.0,58.6,23669,0
1762362223,29.7,87.9,58.6,23669,0
1762362228,28.8,87.7,58.6,23669,0
1762362233,20.5,87.1,58.6,23669,0
1762362238,32.9,87.1,58.6,23669,0
1762362243,29.7,88.5,58.6,23669,0
1762362248,33.4,92.2,58.6,23669,0
1762362253,46.4,89.4,58.6,23669,0
1762362258,16.2,89.1,58.6,23945,0
1762362263,24.8,89.1,58.6,23945,0
1762362268,33.9,88.8,58.6,23945,0
